

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
230.468  000.080  000.080: require('nvim-tree.config')
236.623  000.195  000.195: require('nvim-tree.actions')
236.771  000.126  000.126: require('nvim-tree.actions.node.open-file')
239.211  000.138  000.138: require('nvim-tree.marks.navigation')
239.223  000.333  000.195: require('nvim-tree.api')
239.245  000.484  000.151: require('nvim-tree.keymap')
240.116  000.406  000.406: require('nvim-web-devicons')
244.542  028.177  013.028: require('plugins.nvim-tree')
245.015  000.080  000.080: require('cmp.utils.debug')
245.281  000.172  000.172: require('cmp.utils.char')
245.297  000.273  000.100: require('cmp.utils.str')
245.438  000.089  000.089: require('cmp.utils.pattern')
245.719  000.091  000.091: require('cmp.utils.misc')
245.850  000.103  000.103: require('cmp.utils.buffer')
245.954  000.096  000.096: require('cmp.utils.api')
245.965  000.435  000.145: require('cmp.utils.keymap')
245.973  000.528  000.093: require('cmp.utils.feedkeys')
246.075  000.097  000.097: require('cmp.utils.async')
246.353  000.082  000.082: require('cmp.types.cmp')
246.606  000.246  000.246: require('cmp.types.lsp')
246.741  000.124  000.124: require('cmp.types.vim')
246.747  000.580  000.128: require('cmp.types')
246.831  000.079  000.079: require('cmp.utils.cache')
246.839  000.756  000.097: require('cmp.context')
247.121  000.093  000.093: require('cmp.config.mapping')
247.320  000.096  000.096: require('cmp.config.compare')
247.327  000.194  000.098: require('cmp.config.default')
247.350  000.409  000.122: require('cmp.config')
247.550  000.082  000.082: require('cmp.matcher')
247.560  000.206  000.124: require('cmp.entry')
247.576  000.732  000.117: require('cmp.source')
247.745  000.075  000.075: require('cmp.utils.event')
247.940  000.101  000.101: require('cmp.utils.window')
247.948  000.195  000.095: require('cmp.view.docs_view')
248.154  000.087  000.087: require('cmp.utils.autocmd')
248.173  000.221  000.134: require('cmp.view.custom_entries_view')
248.296  000.117  000.117: require('cmp.view.wildmenu_entries_view')
248.404  000.102  000.102: require('cmp.view.native_entries_view')
248.503  000.093  000.093: require('cmp.view.ghost_text_view')
248.517  000.937  000.134: require('cmp.view')
248.582  003.770  000.278: require('cmp.core')
248.845  000.084  000.084: require('cmp.config.sources')
248.929  000.075  000.075: require('cmp.config.window')
249.029  004.339  000.410: require('cmp')
249.476  000.117  000.117: require('symbols-outline.config')
249.483  000.207  000.090: require('symbols-outline.symbols')
249.579  000.091  000.091: require('symbols-outline.ui')
249.669  000.083  000.083: require('symbols-outline.utils.table')
249.756  000.080  000.080: require('symbols-outline.folding')
249.762  000.586  000.124: require('symbols-outline.parser')
249.852  000.085  000.085: require('symbols-outline.providers.init')
249.952  000.093  000.093: require('symbols-outline.writer')
250.046  000.086  000.086: require('symbols-outline.utils.init')
250.136  000.085  000.085: require('symbols-outline.view')
250.150  001.113  000.179: require('symbols-outline')
250.393  000.113  000.113: require('symbols-outline.preview')
250.513  000.106  000.106: require('lspkind')
252.569  008.014  002.343: require('plugins.cmp')
253.158  000.084  000.084: require('luasnip.session')
253.311  000.144  000.144: require('luasnip.util.util')
253.406  000.088  000.088: require('luasnip.util.types')
253.602  000.095  000.095: require('luasnip.util.ext_opts')
253.611  000.197  000.102: require('luasnip.nodes.util')
253.706  000.089  000.089: require('luasnip.util.events')
253.726  000.751  000.148: require('luasnip.nodes.node')
253.972  000.094  000.094: require('luasnip.util.extend_decorator')
253.987  000.255  000.161: require('luasnip.nodes.insertNode')
254.110  000.117  000.117: require('luasnip.nodes.textNode')
254.237  000.115  000.115: require('luasnip.util.mark')
255.139  000.800  000.800: require('luasnip.util._builtin_vars')
255.552  001.308  000.508: require('luasnip.util.environ')
255.698  000.133  000.133: require('luasnip.util.pattern_tokenizer')
255.793  000.088  000.088: require('luasnip.util.dict')
255.965  000.164  000.164: require('luasnip.session.snippet_collection')
256.142  003.314  000.383: require('luasnip.nodes.snippet')
256.363  000.091  000.091: require('luasnip.loaders._caches')
256.512  000.141  000.141: require('luasnip.util.path')
256.571  000.413  000.181: require('luasnip.loaders')
256.785  000.178  000.178: require('luasnip.nodes.functionNode')
256.960  000.166  000.166: require('luasnip.nodes.choiceNode')
257.123  000.155  000.155: require('luasnip.nodes.dynamicNode')
257.273  000.143  000.143: require('luasnip.nodes.restoreNode')
257.667  000.104  000.104: require('luasnip.util.parser.neovim_ast')
263.619  000.140  000.140: require('luasnip.util.directed_graph')
263.650  006.206  005.962: require('luasnip.util.parser.ast_utils')
263.964  000.162  000.162: require('luasnip.util.functions')
263.984  000.322  000.160: require('luasnip.util.parser.ast_parser')
264.259  000.266  000.266: require('luasnip.util.parser.neovim_parser')
264.421  000.148  000.148: require('luasnip.util.str')
264.442  007.113  000.170: require('luasnip.util.parser')
264.802  000.155  000.155: require('luasnip.extras.filetype_functions')
265.028  000.166  000.166: require('luasnip.extras')
265.184  000.138  000.138: require('luasnip.extras.fmt')
265.466  000.094  000.094: require('luasnip.extras.conditions')
265.566  000.094  000.094: require('luasnip.extras.conditions.show')
265.666  000.381  000.193: require('luasnip.extras.conditions.expand')
265.672  000.479  000.098: require('luasnip.extras.expand_conditions')
265.782  000.098  000.098: require('luasnip.nodes.absolute_indexer')
266.275  001.821  000.786: require('luasnip.config')
266.287  013.592  000.289: require('luasnip')
266.520  000.112  000.112: require('luasnip.loaders.util')
266.530  000.236  000.124: require('luasnip.loaders.from_lua')
276.628  024.041  010.213: require('plugins.luasnip')
277.041  000.148  000.148: require('colorizer/nvim')
277.242  000.191  000.191: require('colorizer/trie')
277.608  000.861  000.521: require('colorizer')
279.397  002.750  001.889: require('plugins.colorizer')
279.798  000.096  000.096: require('prettier.utils')
279.825  000.234  000.138: require('prettier.options')
280.447  000.185  000.185: require('null-ls.methods')
280.476  000.344  000.158: require('null-ls.utils')
280.941  000.455  000.455: require('vim.diagnostic')
280.971  000.933  000.134: require('null-ls.config')
281.211  000.129  000.129: require('null-ls.helpers.cache')
281.353  000.133  000.133: require('null-ls.helpers.diagnostics')
281.462  000.101  000.101: require('null-ls.helpers.formatter_factory')
281.693  000.098  000.098: require('null-ls.logger')
281.801  000.101  000.101: require('null-ls.state')
281.808  000.339  000.141: require('null-ls.helpers.generator_factory')
282.014  000.100  000.100: require('null-ls.helpers.command_resolver')
282.021  000.207  000.108: require('null-ls.helpers.make_builtin')
282.123  000.096  000.096: require('null-ls.helpers.range_formatting_args_factory')
282.128  001.149  000.144: require('null-ls.helpers')
282.356  000.110  000.110: require('null-ls.diagnostics')
282.380  000.247  000.138: require('null-ls.sources')
282.512  000.124  000.124: require('null-ls.builtins')
282.520  002.577  000.123: require('null-ls')
282.621  000.096  000.096: require('prettier.cli')
282.630  002.800  000.127: require('prettier.null-ls')
282.636  003.134  000.101: require('prettier')
283.007  000.131  000.131: require('null-ls.client')
283.020  003.610  000.344: require('plugins.prettier')
283.182  000.089  000.089: require('git')
283.309  000.120  000.120: require('git.config')
283.484  000.455  000.246: require('plugins.git')
283.799  000.099  000.099: require('gitsigns.async')
283.902  000.094  000.094: require('gitsigns.status')
284.158  000.099  000.099: require('gitsigns.debug')
284.269  000.105  000.105: require('gitsigns.util')
284.497  000.123  000.123: require('gitsigns.uv')
284.505  000.229  000.106: require('gitsigns.subprocess')
284.941  000.085  000.085: require('gitsigns.message')
284.970  000.272  000.187: require('gitsigns.config')
285.063  000.086  000.086: require('gitsigns.signs.base')
285.069  000.456  000.099: require('gitsigns.signs')
285.078  000.569  000.113: require('gitsigns.hunks')
285.095  001.187  000.186: require('gitsigns.git')
285.316  000.092  000.092: require('gitsigns.cache')
285.411  000.087  000.087: require('gitsigns.debounce')
285.503  000.082  000.082: require('gitsigns.diff')
285.525  000.425  000.163: require('gitsigns.manager')
285.658  000.126  000.126: require('gitsigns.highlight')
285.681  002.118  000.187: require('gitsigns')
287.320  000.123  000.123: require('gitsigns.signs.vimfn')
289.815  006.324  004.082: require('plugins.gitsigns')
290.263  000.122  000.122: require('neoscroll.config')
290.375  000.103  000.103: require('neoscroll.utils')
290.542  000.565  000.339: require('neoscroll')
291.102  001.263  000.699: require('plugins.neoscroll')
291.674  000.108  000.108: require('cmp_nvim_lsp.source')
291.684  000.228  000.120: require('cmp_nvim_lsp')
291.785  000.091  000.091: require('lspconfig')
291.941  000.110  000.110: require('lspconfig.server_configurations.pylsp')
292.601  000.157  000.157: require('mason-lspconfig.server_configurations.pylsp')
293.072  000.128  000.128: require('lspconfig.server_configurations.clangd')
295.132  000.137  000.137: require('lspconfig.server_configurations.vimls')
296.743  000.130  000.130: require('lspconfig.server_configurations.bashls')
298.844  000.187  000.187: require('lspconfig.server_configurations.sumneko_lua')
300.570  009.456  008.289: require('plugins.lsp')
300.948  000.094  000.094: require('nvim-autopairs._log')
301.076  000.119  000.119: require('nvim-autopairs.utils')
301.419  000.123  000.123: require('nvim-autopairs.conds')
301.435  000.242  000.119: require('nvim-autopairs.rule')
301.440  000.357  000.115: require('nvim-autopairs.rules.basic')
301.455  000.769  000.199: require('nvim-autopairs')
301.677  000.124  000.124: require('nvim-autopairs.fastwrap')
302.226  000.114  000.114: require('nvim-autopairs.ts-conds')
302.234  000.229  000.115: require('nvim-autopairs.rules.ts_basic')
302.492  000.252  000.252: require('vim.treesitter.highlighter')
303.613  000.099  000.099: require('nvim-autopairs.completion.handlers')
303.631  000.229  000.129: require('nvim-autopairs.completion.cmp')
303.704  003.116  001.514: require('plugins.autopairs')
304.017  000.220  000.220: require('null-ls.builtins.formatting.stylua')
304.192  000.159  000.159: require('null-ls.builtins.diagnostics.eslint')
304.322  000.118  000.118: require('null-ls.builtins.completion.spell')
304.809  001.095  000.598: require('plugins.null-ls')
304.895  000.075  000.075: require('plugins.web-devicons')
305.378  000.089  000.089: require('zen-mode.util')
305.570  000.377  000.288: require('zen-mode.config')
305.693  000.111  000.111: require('zen-mode.plugins')
305.704  000.651  000.163: require('zen-mode.view')
305.710  000.742  000.092: require('zen-mode')
305.981  001.080  000.337: require('plugins.zen-mode')
310.192  000.100  000.100: require('doom-one.utils')
310.308  000.104  000.104: require('doom-one.colors')
310.326  000.554  000.350: require('doom-one')
313.289  004.518  003.964: sourcing /home/sxrdusr/.local/share/nvim/site/pack/packer/start/doom-one.nvim/colors/doom-one.lua
319.592  000.338  000.338: sourcing /tmp/.mount_nvimJX3itN/usr/share/nvim/runtime/syntax/synload.vim
320.013  000.059  000.059: sourcing /home/sxrdusr/.local/share/nvim/site/pack/packer/start/filetype.nvim/filetype.vim
321.170  000.100  000.100: sourcing /tmp/.mount_nvimJX3itN/usr/share/nvim/runtime/filetype.lua
322.739  001.395  001.395: sourcing /tmp/.mount_nvimJX3itN/usr/share/nvim/runtime/filetype.vim
323.624  000.175  000.175: require('filetype')
323.693  006.434  004.367: sourcing /tmp/.mount_nvimJX3itN/usr/share/nvim/runtime/syntax/syntax.vim
324.228  000.190  000.190: require('notify.stages.fade_in_slide_out')
324.302  018.309  007.166: require('plugins.colorscheme')
324.712  000.112  000.112: require('heirline.conditions')
324.865  000.145  000.145: require('heirline.utils')
325.237  000.110  000.110: require('heirline.highlights')
325.251  000.238  000.128: require('heirline.statusline')
325.259  000.359  000.122: require('heirline')
325.428  000.151  000.151: require('nvim-navic')
330.002  005.690  004.923: require('plugins.heirline')
330.055  234.819  004.949: sourcing /home/sxrdusr/.config/nvim/init.lua
330.077  007.191: sourcing vimrc file(s)
336.547  001.394  001.394: sourcing /tmp/.mount_nvimJX3itN/usr/share/nvim/runtime/plugin/gzip.vim
336.687  000.061  000.061: sourcing /tmp/.mount_nvimJX3itN/usr/share/nvim/runtime/plugin/health.vim
339.821  001.746  001.746: sourcing /tmp/.mount_nvimJX3itN/usr/share/nvim/runtime/pack/dist/opt/matchit/plugin/matchit.vim
340.242  003.447  001.701: sourcing /tmp/.mount_nvimJX3itN/usr/share/nvim/runtime/plugin/matchit.vim
340.717  000.405  000.405: sourcing /tmp/.mount_nvimJX3itN/usr/share/nvim/runtime/plugin/matchparen.vim
340.878  000.087  000.087: sourcing /tmp/.mount_nvimJX3itN/usr/share/nvim/runtime/plugin/netrwPlugin.vim
341.312  000.022  000.022: sourcing /home/sxrdusr/.local/share/nvim/rplugin.vim
341.333  000.386  000.364: sourcing /tmp/.mount_nvimJX3itN/usr/share/nvim/runtime/plugin/rplugin.vim
341.611  000.210  000.210: sourcing /tmp/.mount_nvimJX3itN/usr/share/nvim/runtime/plugin/shada.vim
341.759  000.058  000.058: sourcing /tmp/.mount_nvimJX3itN/usr/share/nvim/runtime/plugin/spellfile.vim
341.905  000.068  000.068: sourcing /tmp/.mount_nvimJX3itN/usr/share/nvim/runtime/plugin/tarPlugin.vim
342.052  000.069  000.069: sourcing /tmp/.mount_nvimJX3itN/usr/share/nvim/runtime/plugin/tohtml.vim
342.177  000.052  000.052: sourcing /tmp/.mount_nvimJX3itN/usr/share/nvim/runtime/plugin/tutor.vim
343.163  000.910  000.910: sourcing /tmp/.mount_nvimJX3itN/usr/share/nvim/runtime/plugin/zipPlugin.vim
343.453  000.038  000.038: sourcing /usr/share/vim/vimfiles/plugin/fzf.vim
345.012  000.181  000.181: require('null-ls.builtins.diagnostics.checkmake')
345.445  000.260  000.260: require('fidget.log')
345.466  000.439  000.179: require('fidget')
345.669  000.182  000.182: require('fidget.spinners')
345.883  000.144  000.144: require('flit')
346.600  000.104  000.104: require('leap')
346.710  000.100  000.100: require('leap.user')
347.894  000.084  000.084: require('crates.time')
347.905  000.197  000.113: require('crates.types')
347.917  000.318  000.121: require('crates.semver')
348.396  000.389  000.389: require('crates.config')
348.547  000.143  000.143: require('crates.toml')
348.558  000.635  000.103: require('crates.state')
348.584  001.124  000.171: require('crates.util')
348.598  001.262  000.138: require('crates.actions')
348.850  000.146  000.146: require('crates.api')
348.951  000.093  000.093: require('crates.async')
349.068  000.110  000.110: require('crates.diagnostic')
349.206  000.129  000.129: require('crates.ui')
349.215  000.610  000.132: require('crates.core')
349.493  000.124  000.124: require('crates.popup.common')
349.618  000.118  000.118: require('crates.popup.crate')
349.744  000.119  000.119: require('crates.popup.dependencies')
349.874  000.123  000.123: require('crates.popup.features')
350.034  000.154  000.154: require('crates.popup.versions')
350.050  000.829  000.192: require('crates.popup')
350.061  002.844  000.142: require('crates')
353.619  000.487  000.487: sourcing /home/sxrdusr/.local/share/nvim/site/pack/packer/start/telescope.nvim/plugin/telescope.lua
355.322  011.723  007.242: sourcing /home/sxrdusr/.config/nvim/plugin/packer_compiled.lua
356.160  000.117  000.117: sourcing /tmp/.mount_nvimJX3itN/usr/share/nvim/runtime/plugin/man.lua
356.374  007.273: loading rtp plugins
358.523  000.097  000.097: require('Comment.config')
358.854  000.155  000.155: require('Comment.ft')
358.864  000.331  000.176: require('Comment.utils')
358.969  000.099  000.099: require('Comment.opfunc')
359.069  000.093  000.093: require('Comment.extra')
359.078  000.786  000.166: require('Comment.api')
359.276  001.082  000.295: sourcing /home/sxrdusr/.local/share/nvim/site/pack/packer/start/Comment.nvim/plugin/Comment.lua
359.619  000.160  000.160: sourcing /home/sxrdusr/.local/share/nvim/site/pack/packer/start/FixCursorHold.nvim/plugin/fix_cursorhold_nvim.vim
360.346  000.465  000.465: sourcing /home/sxrdusr/.local/share/nvim/site/pack/packer/start/LuaSnip/plugin/luasnip.vim
361.167  000.179  000.179: sourcing /home/sxrdusr/.local/share/nvim/site/pack/packer/start/crates.nvim/plugin/crates.vim
361.787  000.039  000.039: sourcing /home/sxrdusr/.local/share/nvim/site/pack/packer/start/fzf/plugin/fzf.vim
363.802  001.427  001.427: sourcing /home/sxrdusr/.local/share/nvim/site/pack/packer/start/leap.nvim/plugin/init.lua
364.372  000.073  000.073: sourcing /home/sxrdusr/.local/share/nvim/site/pack/packer/start/nightfox.nvim/plugin/nightfox.vim
365.036  000.364  000.364: sourcing /home/sxrdusr/.local/share/nvim/site/pack/packer/start/numbers.vim/plugin/numbers.vim
365.696  000.168  000.168: require('cmp.utils.highlight')
366.663  001.241  001.073: sourcing /home/sxrdusr/.local/share/nvim/site/pack/packer/start/nvim-cmp/plugin/cmp.lua
366.885  000.030  000.030: sourcing /home/sxrdusr/.local/share/nvim/site/pack/packer/start/nvim-code-action-menu/plugin/code_action_menu.vim
367.216  000.079  000.079: sourcing /home/sxrdusr/.local/share/nvim/site/pack/packer/start/nvim-colorizer.lua/plugin/colorizer.vim
367.709  000.172  000.172: sourcing /home/sxrdusr/.local/share/nvim/site/pack/packer/start/nvim-dap/plugin/dap.lua
368.347  000.221  000.221: sourcing /home/sxrdusr/.local/share/nvim/site/pack/packer/start/nvim-lspconfig/plugin/lspconfig.lua
369.235  000.221  000.221: require('nvim-treesitter.statusline')
369.370  000.126  000.126: require('nvim-treesitter.query_predicates')
369.377  000.515  000.169: require('nvim-treesitter')
370.560  001.785  001.269: sourcing /home/sxrdusr/.local/share/nvim/site/pack/packer/start/nvim-treesitter/plugin/nvim-treesitter.lua
371.139  000.352  000.352: require('treesitter-context')
371.150  000.395  000.043: sourcing /home/sxrdusr/.local/share/nvim/site/pack/packer/start/nvim-treesitter-context/plugin/treesitter-context.vim
371.675  000.224  000.224: require('nvim-treesitter-refactor')
372.160  000.741  000.517: sourcing /home/sxrdusr/.local/share/nvim/site/pack/packer/start/nvim-treesitter-refactor/plugin/nvim-treesitter-refactor.vim
372.568  000.136  000.136: sourcing /home/sxrdusr/.local/share/nvim/site/pack/packer/start/nvim-web-devicons/plugin/nvim-web-devicons.vim
373.014  000.080  000.080: sourcing /home/sxrdusr/.local/share/nvim/site/pack/packer/start/plenary.nvim/plugin/plenary.vim
373.351  000.093  000.093: sourcing /home/sxrdusr/.local/share/nvim/site/pack/packer/start/prettier.nvim/plugin/prettier.vim
373.840  000.027  000.027: sourcing /home/sxrdusr/.local/share/nvim/site/pack/packer/start/startuptime.vim/plugin/startuptime.vim
374.126  000.044  000.044: sourcing /home/sxrdusr/.local/share/nvim/site/pack/packer/start/symbols-outline.nvim/plugin/symbols-outline.vim
374.491  000.061  000.061: sourcing /home/sxrdusr/.local/share/nvim/site/pack/packer/start/telescope-frecency.nvim/plugin/frecency.vim
375.105  000.126  000.126: sourcing /home/sxrdusr/.local/share/nvim/site/pack/packer/start/telescope.nvim/plugin/telescope.lua
375.661  000.344  000.344: sourcing /home/sxrdusr/.local/share/nvim/site/pack/packer/start/vim-cool/plugin/cool.vim
376.391  000.379  000.379: sourcing /home/sxrdusr/.local/share/nvim/site/pack/packer/start/vim-tmux-navigator/plugin/tmux_navigator.vim
376.681  000.030  000.030: sourcing /home/sxrdusr/.local/share/nvim/site/pack/packer/start/which-key.nvim/plugin/which-key.vim
376.976  000.047  000.047: sourcing /home/sxrdusr/.local/share/nvim/site/pack/packer/start/zen-mode.nvim/plugin/zen-mode.vim
378.135  011.943: loading packages
386.128  000.183  000.183: require('cmp_buffer.timer')
386.140  000.355  000.171: require('cmp_buffer.buffer')
386.146  000.475  000.120: require('cmp_buffer.source')
386.151  000.597  000.122: require('cmp_buffer')
386.207  000.737  000.140: sourcing /home/sxrdusr/.local/share/nvim/site/pack/packer/start/cmp-buffer/after/plugin/cmp_buffer.lua
386.646  000.180  000.180: require('cmp_cmdline')
386.683  000.314  000.134: sourcing /home/sxrdusr/.local/share/nvim/site/pack/packer/start/cmp-cmdline/after/plugin/cmp_cmdline.lua
386.981  000.134  000.134: sourcing /home/sxrdusr/.local/share/nvim/site/pack/packer/start/cmp-nvim-lsp/after/plugin/cmp_nvim_lsp.lua
387.382  000.164  000.164: require('cmp_path')
387.415  000.281  000.117: sourcing /home/sxrdusr/.local/share/nvim/site/pack/packer/start/cmp-path/after/plugin/cmp_path.lua
387.764  000.118  000.118: require('cmp_luasnip')
387.832  000.254  000.137: sourcing /home/sxrdusr/.local/share/nvim/site/pack/packer/start/cmp_luasnip/after/plugin/cmp_luasnip.lua
388.317  000.118  000.118: require('crates.src.common')
388.329  000.229  000.111: require('crates.src.cmp')
388.357  000.329  000.100: sourcing /home/sxrdusr/.local/share/nvim/site/pack/packer/start/crates.nvim/after/plugin/cmp_crates.lua
388.431  008.246: loading after plugins
388.462  000.032: inits 3
388.477  000.015: reading ShaDa
389.662  000.131  000.131: require('luasnip.nodes.snippetProxy')
389.678  000.357  000.227: require('luasnip.loaders.from_snipmate')
389.867  000.141  000.141: require('luasnip.loaders.from_vscode')
389.985  001.009: opening buffers
390.134  000.150: BufEnter autocommands
390.143  000.009: editing files in windows
408.982  000.262  000.262: require('gitsigns.current_line_blame')


times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines

001.177  001.177: --- NVIM STARTING ---
030.296  029.118: event init
047.618  017.322: early init
049.401  001.783: locale set
055.049  005.647: init first window
065.410  010.361: inits 1
065.435  000.025: window checked
065.443  000.008: parsing arguments
077.432  000.276  000.276: require('vim.shared')
077.936  000.239  000.239: require('vim._meta')
077.949  000.494  000.255: require('vim._editor')
077.957  000.895  000.126: require('vim._init_packages')
077.964  011.626: init lua interpreter
078.138  000.174: expanding arguments
080.103  001.965: inits 2
081.461  001.358: init highlight
081.470  000.009: waiting for UI
085.368  003.898: done waiting for UI
085.402  000.035: init screen for UI
085.645  000.242: init default mappings
085.673  000.028: init default autocommands
098.985  004.477  004.477: sourcing /tmp/.mount_nvimjtc2VG/usr/share/nvim/runtime/ftplugin.vim
102.428  001.121  001.121: sourcing /tmp/.mount_nvimjtc2VG/usr/share/nvim/runtime/indent.vim
102.963  000.062  000.062: sourcing /usr/share/nvim/archlinux.vim
102.992  000.194  000.132: sourcing /etc/xdg/nvim/sysinit.vim
131.508  028.029  028.029: require('impatient')
131.647  000.124  000.124: require('impatient.profile')
131.753  000.087  000.087: require('user.utils')
135.969  000.249  000.249: require('packer.util')
136.019  000.593  000.345: require('packer')
137.052  000.618  000.618: require('packer.log')
137.067  000.782  000.164: require('packer.async')
137.526  000.335  000.335: require('packer.result')
137.539  000.466  000.131: require('packer.jobs')
137.552  001.479  000.231: require('packer.plugin_utils')
137.749  000.174  000.174: require('packer.snapshot')
138.889  000.093  000.093: require('mason-core.path')
138.917  000.215  000.123: require('mason.settings')
139.202  000.156  000.156: require('mason-core.functional')
139.421  000.093  000.093: require('mason-core.functional.data')
139.434  000.208  000.116: require('mason-core.functional.function')
139.614  000.151  000.151: require('mason-core.functional.relation')
139.774  000.136  000.136: require('mason-core.functional.logic')
139.830  000.905  000.254: require('mason-core.platform')
139.836  001.438  000.318: require('mason')
140.302  000.152  000.152: require('mason-core.functional.list')
140.351  000.483  000.331: require('mason.api.command')
140.607  000.140  000.140: require('mason-core.log')
140.616  000.258  000.118: require('mason-lspconfig')
140.713  000.092  000.092: require('mason-lspconfig.settings')
140.974  000.080  000.080: require('mason-core.notify')
140.991  000.205  000.125: require('mason-lspconfig.lspconfig_hook')
148.799  000.640  000.640: require('vim.lsp.log')
151.050  000.016  000.016: require('vim.F')
151.061  002.248  002.232: require('vim.lsp.protocol')
157.315  002.187  002.187: require('vim.lsp._snippet')
157.944  000.612  000.612: require('vim.highlight')
157.978  006.908  004.109: require('vim.lsp.util')
158.026  012.293  002.498: require('vim.lsp.handlers')
159.228  001.192  001.192: require('vim.lsp.rpc')
159.914  000.674  000.674: require('vim.lsp.sync')
161.352  001.426  001.426: require('vim.lsp.buf')
161.915  000.553  000.553: require('vim.lsp.diagnostic')
162.551  000.625  000.625: require('vim.lsp.codelens')
162.744  021.619  004.854: require('vim.lsp')
162.849  021.853  000.234: require('lspconfig.util')
163.157  000.103  000.103: require('mason-core.functional.table')
163.261  000.383  000.280: require('mason-lspconfig.mappings.server')
163.645  000.120  000.120: require('mason-core.async')
163.743  000.087  000.087: require('mason-core.async.uv')
163.758  000.352  000.144: require('mason-core.fs')
163.897  000.132  000.132: require('mason-core.optional')
164.044  000.137  000.137: require('mason-core.EventEmitter')
164.264  000.213  000.213: require('mason-registry.index')
164.290  001.019  000.186: require('mason-registry')
164.396  000.098  000.098: require('mason-lspconfig.server_config_extensions')
164.526  000.123  000.123: require('lspconfig.configs')
164.692  000.115  000.115: require('lspconfig.server_configurations.omnisharp')
165.070  000.106  000.106: require('mason-lspconfig.ensure_installed')
165.423  000.103  000.103: require('mason-core.result')
166.032  000.272  000.272: require('mason-core.process')
166.149  000.550  000.278: require('mason-core.spawn')
166.275  000.114  000.114: require('mason-core.receipt')
166.392  000.097  000.097: require('mason-core.functional.string')
166.424  000.992  000.231: require('mason-core.installer.context')
166.586  000.156  000.156: require('mason-core.installer.linker')
166.719  000.124  000.124: require('mason-core.async.control')
166.732  001.527  000.153: require('mason-core.installer')
166.868  000.128  000.128: require('mason-core.installer.handle')
167.428  000.124  000.124: require('mason-core.managers.powershell')
167.439  000.236  000.112: require('mason-core.fetch')
167.443  000.328  000.093: require('mason-core.managers.cargo.client')
167.690  000.127  000.127: require('mason-core.managers.std')
168.013  000.123  000.123: require('mason-registry.api')
168.038  000.298  000.175: require('mason-core.managers.github.client')
168.053  000.605  000.179: require('mason-core.managers.github')
168.167  001.180  000.247: require('mason-core.managers.cargo')
168.471  000.296  000.296: require('mason-core.managers.composer')
168.645  000.165  000.165: require('mason-core.managers.gem')
168.757  000.105  000.105: require('mason-core.managers.git')
168.995  000.230  000.230: require('mason-core.managers.go')
169.199  000.195  000.195: require('mason-core.managers.luarocks')
169.356  000.146  000.146: require('mason-core.managers.npm')
169.539  000.176  000.176: require('mason-core.managers.pip3')
169.556  002.668  000.175: require('mason-core.package.version-check')
169.568  004.489  000.166: require('mason-core.package')
169.702  000.111  000.111: require('mason-registry.python-lsp-server')
170.068  000.142  000.142: require('mason-registry.pyright')
170.243  000.143  000.143: require('mason-registry.clangd')
170.428  000.158  000.158: require('mason-registry.lua-language-server')
170.665  000.091  000.091: require('mason-core.functional.number')
170.720  000.279  000.188: require('mason-lspconfig.api.command')
170.932  035.877  002.136: require('user.pack')
173.861  002.917  002.917: require('user.opts')
174.009  000.011  000.011: require('vim.keymap')
176.057  002.183  002.172: require('user.keys')
176.165  000.098  000.098: require('user.utils')
180.486  001.298  001.298: require('vim.treesitter.language')
180.521  004.008  002.710: require('vim.treesitter.query')
182.976  000.924  000.924: require('vim.treesitter.languagetree')
183.075  001.964  001.040: require('vim.treesitter')
183.413  002.629  000.665: require('nvim-treesitter.parsers')
183.587  000.163  000.163: require('nvim-treesitter.utils')
183.599  002.945  000.153: require('nvim-treesitter.ts_utils')
183.614  003.085  000.139: require('nvim-treesitter.tsrange')
183.725  000.103  000.103: require('nvim-treesitter.caching')
183.747  007.357  000.161: require('nvim-treesitter.query')
183.782  007.535  000.178: require('nvim-treesitter.configs')
184.408  000.120  000.120: require('nvim-treesitter.info')
184.561  000.142  000.142: require('nvim-treesitter.shell_command_selectors')
184.612  000.525  000.262: require('nvim-treesitter.install')
186.316  010.142  002.082: require('plugins.treesitter')
186.647  000.100  000.100: require('telescope._extensions')
186.657  000.212  000.111: require('telescope')
187.507  000.103  000.103: require('plenary.bit')
187.611  000.094  000.094: require('plenary.functional')
187.670  000.036  000.036: require('ffi')
187.694  000.461  000.228: require('plenary.path')
187.710  000.576  000.115: require('plenary.strings')
187.808  000.093  000.093: require('telescope.deprecated')
188.209  000.182  000.182: require('plenary.log')
188.248  000.305  000.123: require('telescope.log')
188.593  000.187  000.187: require('plenary.job')
188.715  000.112  000.112: require('telescope.state')
188.823  000.567  000.268: require('telescope.utils')
188.887  001.071  000.199: require('telescope.sorters')
189.139  000.218  000.218: require('vim.inspect')
197.132  010.169  008.211: require('telescope.config')
197.510  000.148  000.148: require('plenary.window.border')
197.627  000.109  000.109: require('plenary.window')
197.744  000.109  000.109: require('plenary.popup.utils')
197.755  000.598  000.233: require('plenary.popup')
197.909  000.147  000.147: require('telescope.pickers.scroller')
198.052  000.134  000.134: require('telescope.actions.state')
198.221  000.144  000.144: require('telescope.actions.utils')
198.538  000.150  000.150: require('telescope.actions.mt')
